datum,vek_txt,covid_umrti
2021-10-17,40-64,6
2021-10-17,65-74,9
2021-10-17,75-84,18
2021-10-17,85+,19
2021-10-24,0-14,0
2021-10-24,15-39,1
2021-10-24,40-64,8
2021-10-24,65-74,20
2021-10-24,75-84,24
2021-10-24,85+,34
2021-10-31,0-14,0
2021-10-31,15-39,1
2021-10-31,40-64,24
2021-10-31,65-74,30
2021-10-31,75-84,73
2021-10-31,85+,36
2021-11-07,0-14,0
2021-11-07,15-39,1
2021-11-07,40-64,31
2021-11-07,65-74,67
2021-11-07,75-84,122
2021-11-07,85+,83
2021-11-14,0-14,0
2021-11-14,15-39,3
2021-11-14,40-64,55
2021-11-14,65-74,112
2021-11-14,75-84,158
2021-11-14,85+,131
2021-11-21,0-14,0
2021-11-21,15-39,3
2021-11-21,40-64,60
2021-11-21,65-74,170
2021-11-21,75-84,266
2021-11-21,85+,182
2021-11-28,0-14,1
2021-11-28,15-39,9
2021-11-28,40-64,80
2021-11-28,65-74,210
2021-11-28,75-84,256
2021-11-28,85+,207
2021-12-05,0-14,1
2021-12-05,15-39,2
2021-12-05,40-64,106
2021-12-05,65-74,206
2021-12-05,75-84,301
2021-12-05,85+,208
2021-12-12,0-14,0
2021-12-12,15-39,1
2021-12-12,40-64,98
2021-12-12,65-74,192
2021-12-12,75-84,266
2021-12-12,85+,212
2021-12-19,0-14,0
2021-12-19,15-39,2
2021-12-19,40-64,24
2021-12-19,65-74,70
2021-12-19,75-84,94
2021-12-19,85+,60
